gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description	SL4
Solyc08G002398	A.28.75	A.34.75	0.00457	4.85e-05	2.162	0.00295	1.86e-05	2.169	Unknown protein ITAG4.0:Solyc08g081460.2	Solyc08g081460.2
NA	NA	NA	NA	NA	NA	0.0111	8.89e-05	5.91	Reticulon-like protein (AHRD V3.3 *** A0A2G3DAU6_CAPCH) ITAG4.0:Solyc08g081730.4	Solyc08g081730.4
Solyc08G002494	A.28.75	A.34.75	0.0136	0.000157	0.79	0.00686	5.03e-05	0.789	NA	NA
Solyc09G000013	A.28.75	A.34.75	5.15e-05	3.9e-07	2.081	0.0267	0.00024	2.079	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA) ITAG4.0:Solyc09g005120.3	Solyc09g005120.3
Solyc09G000040	A.28.75	A.34.75	0.00306	3.18e-05	1.755	0.000468	2.29e-06	1.754	NA	NA
Solyc09G000121	A.28.75	A.34.75	1.96e-08	9.75e-11	4.433	1.38e-08	1.94e-11	4.48	Ascorbate peroxidase (AHRD V3.3 *** Q42941_TOBAC) ITAG4.0:Solyc09g007270.3	Solyc09g007270.3
Solyc09G000297	A.28.75	A.34.75	2.78e-12	6.93e-15	6.162	1.53e-06	3.74e-09	6.192	plant/protein (AHRD V3.3 *** AT3G10020.1) ITAG4.0:Solyc09g008970.1	Solyc09g008970.1
Solyc09G000518	A.28.75	A.34.75	0.00162	1.53e-05	3.536	0.00029	1.31e-06	3.562	Hsp70 nucleotide exchange factor FES1 (AHRD V3.3 *** A0A1J3K956_NOCCA) ITAG4.0:Solyc09g011030.3	Solyc09g011030.3
Solyc09G000522	A.28.75	A.34.75	0.00642	7.23e-05	1.055	0.0413	0.000404	1.054	Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (AHRD V3.3 *** A0A2G2VP29_CAPBA) ITAG4.0:Solyc09g011080.3	Solyc09g011080.3
Solyc09G000532	A.28.75	A.34.75	2.47e-09	1.1e-11	4.608	0.00712	5.32e-05	4.636	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH) ITAG4.0:Solyc09g011160.4	Solyc09g011160.4
Solyc09G000744	A.28.75	A.34.75	1.03e-15	1.23e-18	6.323	2.89e-09	3.43e-12	6.354	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR) ITAG4.0:Solyc09g015020.1	Solyc09g015020.1
NA	NA	NA	NA	NA	NA	0.0329	0.000303	0.725	PPPDE putative thiol peptidase family protein (AHRD V3.3 *** A0A2U1N5E2_ARTAN) ITAG4.0:Solyc09g061310.3	Solyc09g061310.3
Solyc09G001994	A.28.75	A.34.75	0.0157	0.000183	1.24	0.0136	0.000113	1.239	Bax inhibitor-1 family protein (AHRD V3.3 *-* A0A2U1MW73_ARTAN) ITAG4.0:Solyc09g065610.2	Solyc09g065610.2
NA	NA	NA	NA	NA	NA	0.000691	3.69e-06	6.768	Flavin-containing monooxygenase (AHRD V3.3 *-* A0A2G2YF03_CAPAN) ITAG4.0:Solyc09g073015.1	Solyc09g073015.1
Solyc09G002196	A.28.75	A.34.75	0.000105	8.1e-07	2.117	3.85e-05	1.31e-07	2.119	Tubby-like F-box protein (AHRD V3.3 *** A0A200QX79_9MAGN) ITAG4.0:Solyc09g074510.3	Solyc09g074510.3
Solyc09G002288	A.28.75	A.34.75	0.000345	2.91e-06	2.302	0.00403	2.6e-05	2.313	DnaJ-like protein subfamily B member 6 (AHRD V3.3 *** A0A2G2W0L3_CAPBA) ITAG4.0:Solyc09g075470.2	Solyc09g075470.2
Solyc09G002335	A.28.75	A.34.75	4.9e-15	6.37e-18	4.049	4.27e-09	5.7e-12	4.054	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR) ITAG4.0:Solyc09g075950.1	Solyc09g075950.1
Solyc09G002677	A.28.75	A.34.75	0.0409	0.000553	-1.063	NA	NA	NA	NA	NA
Solyc09G002796	A.28.75	A.34.75	1.13e-13	2.19e-16	6.47	2.99e-09	3.77e-12	6.473	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G001041	A.28.75	A.34.75	0.00546	5.91e-05	2.372	NA	NA	NA	NA	NA
Solyc10G002198	A.28.75	A.34.75	0.00575	6.35e-05	1.273	0.0228	0.000199	1.274	Plant organelle RNA recognition domain containing protein (AHRD V3.3 *** A0A2P5FBL3_TREOI) ITAG4.0:Solyc10g077100.1	Solyc10g077100.1
Solyc10G002281	A.28.75	A.34.75	6.48e-07	3.79e-09	2.308	0.00269	1.68e-05	2.306	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	A.28.75	A.34.75	1.79e-09	7.76e-12	4.217	5.11e-05	1.89e-07	4.218	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
Solyc10G002725	A.28.75	A.34.75	0.000146	1.19e-06	2.154	0.0012	6.68e-06	2.159	Glutathione S-transferase (AHRD V3.3 *** Q76KW1_PEA) ITAG4.0:Solyc10g084400.2	Solyc10g084400.2
Solyc10G002787	A.28.75	A.34.75	0.000146	1.2e-06	2.476	0.00167	9.79e-06	2.492	Heme-binding-like protein (AHRD V3.3 *** A0A2I0X8X3_9ASPA) ITAG4.0:Solyc10g085040.1	Solyc10g085040.1
Solyc10G002923	A.28.75	A.34.75	5.43e-06	3.47e-08	1.707	1.48e-07	2.97e-10	1.707	LEHSC270  hsc-2heat shock protein cognate 70 ITAG4.0:Solyc10g086410.3	Solyc10g086410.3
Solyc11G000951	A.28.75	A.34.75	2.78e-12	6.74e-15	5.115	1.21e-14	2.82e-18	5.154	heat shock protein 70 ITAG4.0:Solyc11g020040.2	Solyc11g020040.2
Solyc11G000981	A.28.75	A.34.75	7.05e-11	2.36e-13	6.543	8.74e-06	2.51e-08	6.607	leer-sHSP small heat shock protein ITAG4.0:Solyc11g020330.1	Solyc11g020330.1
Solyc11G001073	A.28.75	A.34.75	0.0373	0.000501	2.47	NA	NA	NA	NA	NA
Solyc11G001804	A.28.75	A.34.75	0.0246	0.000312	0.97	0.00907	7.06e-05	0.97	NA	NA
Solyc11G001818	A.28.75	A.34.75	0.0499	0.000694	1.883	NA	NA	NA	NA	NA
Solyc11G002064	A.28.75	A.34.75	0.00225	2.22e-05	1.679	NA	NA	NA	NA	NA
Solyc11G002068	A.28.75	A.34.75	6.42e-09	2.99e-11	3.097	0.000204	8.93e-07	3.095	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002140	A.28.75	A.34.75	0.00177	1.7e-05	2.027	0.00014	5.96e-07	2.029	Zinc finger transcription factor 68 ITAG4.0:Solyc11g066830.2	Solyc11g066830.2
Solyc11G002231	A.28.75	A.34.75	4.61e-05	3.44e-07	2.823	0.00234	1.42e-05	2.852	Nitrilase (AHRD V3.3 *** G4VV63_CAMSI) ITAG4.0:Solyc11g068730.2	Solyc11g068730.2
Solyc11G002250	A.28.75	A.34.75	0.000398	3.49e-06	2.245	0.00712	5.34e-05	2.26	RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2VPS7_CAPBA) ITAG4.0:Solyc11g068940.1	Solyc11g068940.1
Solyc11G002443	A.28.75	A.34.75	1.85e-12	4.21e-15	4.839	8e-08	1.48e-10	4.837	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000098	A.28.75	A.34.75	0.0271	0.000355	1.04	0.00683	4.91e-05	1.039	WLM domain-containing protein/PUB domain-containing protein (AHRD V3.3 *** A0A1Q3B398_CEPFO) ITAG4.0:Solyc12g005980.2	Solyc12g005980.2
Solyc12G000449	A.28.75	A.34.75	0.000896	8.15e-06	2.164	0.00108	5.84e-06	2.17	Protein phosphatase 2C (AHRD V3.3 *** B4FDN2_MAIZE) ITAG4.0:Solyc12g010450.3	Solyc12g010450.3
Solyc12G000488	A.28.75	A.34.75	0.00502	5.38e-05	3.007	0.0123	9.91e-05	3.042	NA	NA
Solyc12G000549	A.28.75	A.34.75	0.0264	0.000343	0.919	NA	NA	NA	NA	NA
Solyc12G000748	A.28.75	A.34.75	0.000394	3.41e-06	2.705	NA	NA	NA	NA	NA
Solyc12G000755	A.28.75	A.34.75	1.9e-06	1.15e-08	2.558	0.00487	3.32e-05	2.556	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
Solyc12G001950	A.28.75	A.34.75	0.00109	1e-05	1.353	7.72e-05	3.15e-07	1.352	NA	NA
Solyc12G002286	A.28.75	A.34.75	0.0299	0.000399	1.478	0.0413	0.000404	1.48	HSP20-like chaperone (AHRD V3.3 *** A0A2U1QD54_ARTAN) ITAG4.0:Solyc12g056780.2	Solyc12g056780.2
Solyc12G002461	A.28.75	A.34.75	2.71e-05	1.9e-07	3.139	6.59e-05	2.54e-07	3.165	Ornithine carbamoyltransferase (AHRD V3.3 *** A0A2G2YA09_CAPAN) ITAG4.0:Solyc12g089210.2	Solyc12g089210.2
Solyc12G002585	A.28.75	A.34.75	0.0499	0.000697	1.982	NA	NA	NA	NA	NA
Solyc12G002815	A.28.75	A.34.75	0.0283	0.000373	0.955	0.0176	0.00015	0.954	NA	NA
Solyc06G002092	F.28.15	F.34.15	3.5e-06	4.23e-10	2.513	0.00869	5.44e-07	2.523	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
PRAM_26263	F.28.30	F.34.30	0.0175	4.63e-05	-2.22	NA	NA	NA	NA	NA
PRAM_26312	F.28.30	F.34.30	0.000443	9.58e-07	2.039	NA	NA	NA	NA	NA
Solyc01G002277	F.28.30	F.34.30	3.56e-05	6.86e-08	3.071	0.049	6.22e-05	3.115	NA	NA
Solyc01G002906	F.28.30	F.34.30	1.44e-08	2.07e-11	2.911	NA	NA	NA	NA	NA
Solyc01G003685	F.28.30	F.34.30	2.43e-06	4.09e-09	3.591	NA	NA	NA	NA	NA
Solyc03G000301	F.28.30	F.34.30	3.1e-42	7.47e-46	3.759	5.22e-27	1.9e-30	3.77	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G002803	F.28.30	F.34.30	2.85e-30	2.06e-33	2.938	4.05e-24	1.84e-27	2.942	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	F.28.30	F.34.30	0.0208	5.75e-05	2.115	NA	NA	NA	NA	NA
Solyc04G000427	F.28.30	F.34.30	2.87e-17	2.76e-20	3.201	4.56e-08	3.72e-11	3.226	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002206	F.28.30	F.34.30	5.59e-06	1.01e-08	3.299	NA	NA	NA	NA	NA
Solyc05G002365	F.28.30	F.34.30	0.0321	9.25e-05	1.5	NA	NA	NA	NA	NA
Solyc06G000727	F.28.30	F.34.30	4.19e-34	2.01e-37	3.359	4.07e-23	2.22e-26	3.364	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	F.28.30	F.34.30	1.21e-37	4.38e-41	3.691	1.16e-28	2.1e-32	3.7	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	F.28.30	F.34.30	1.18e-32	7.07e-36	1.965	2.36e-27	6.41e-31	1.965	heat shock protein 70 kD ITAG4.0:Solyc06g076020.3	Solyc06g076020.3
Solyc07G002746	F.28.30	F.34.30	6.88e-09	9.1e-12	0.924	3.67e-07	3.33e-10	0.924	molecular chaperone Hsp90-2 ITAG4.0:Solyc07g065840.2	Solyc07g065840.2
Solyc08G000196	F.28.30	F.34.30	0.0105	2.64e-05	1.955	NA	NA	NA	NA	NA
Solyc08G002151	F.28.30	F.34.30	7.12e-19	5.99e-22	3.366	7.72e-09	4.9e-12	3.394	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc08G002451	F.28.30	F.34.30	0.00409	9.82e-06	-1.222	NA	NA	NA	NA	NA
Solyc10G002281	F.28.30	F.34.30	0.000248	5.07e-07	0.891	0.0151	1.78e-05	0.892	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	F.28.30	F.34.30	1.74e-08	2.73e-11	4.475	0.000481	5.23e-07	4.608	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
Solyc11G002064	F.28.30	F.34.30	2.99e-10	3.24e-13	1.133	8.1e-09	5.88e-12	1.133	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	F.28.30	F.34.30	9.83e-54	1.18e-57	2.994	4.92e-45	4.46e-49	2.997	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002443	F.28.30	F.34.30	0.0037	8.45e-06	1.951	NA	NA	NA	NA	NA
Solyc12G000755	F.28.30	F.34.30	6.63e-10	7.98e-13	1.168	1.69e-06	1.69e-09	1.169	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
PRAM_26312	F.28.45	F.34.45	1.6e-10	3.05e-13	2.756	1.35e-06	1.41e-09	2.773	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc01G002277	F.28.45	F.34.45	3.76e-15	4.94e-18	3.216	7.76e-10	5.05e-13	3.239	NA	NA
Solyc01G002906	F.28.45	F.34.45	7.56e-29	3.61e-32	3.457	6.56e-31	1.28e-34	3.462	NA	NA
Solyc01G003506	F.28.45	F.34.45	2.66e-06	6.34e-09	3.267	0.0258	3.35e-05	3.349	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
Solyc01G003685	F.28.45	F.34.45	0.0157	4.86e-05	1.948	NA	NA	NA	NA	NA
Solyc01G003823	F.28.45	F.34.45	0.0426	0.000142	1.082	NA	NA	NA	NA	NA
Solyc01G003828	F.28.45	F.34.45	2.15e-14	3.33e-17	-8.44	1.35e-06	1.37e-09	-7.801	NA	NA
Solyc03G000301	F.28.45	F.34.45	1.32e-34	3.15e-38	3.703	6.91e-33	4.49e-37	3.71	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G001667	F.28.45	F.34.45	1.23e-05	3.09e-08	2.798	NA	NA	NA	NA	NA
Solyc03G002803	F.28.45	F.34.45	2.52e-33	9.03e-37	2.823	9.78e-33	1.27e-36	2.827	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	F.28.45	F.34.45	5.82e-20	6.25e-23	3.769	5.42e-12	3.17e-15	3.799	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003305	F.28.45	F.34.45	0.00282	7.76e-06	1.23	NA	NA	NA	NA	NA
Solyc03G003549	F.28.45	F.34.45	2.22e-06	5.05e-09	4.783	NA	NA	NA	NA	NA
Solyc04G000427	F.28.45	F.34.45	5.57e-25	4.66e-28	3.421	3.44e-16	1.79e-19	3.442	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002206	F.28.45	F.34.45	2.66e-19	3.17e-22	4.076	1.27e-08	9.06e-12	4.137	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
Solyc05G000281	F.28.45	F.34.45	2.57e-05	6.75e-08	3.531	0.0443	6.06e-05	3.625	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc06G000727	F.28.45	F.34.45	4.6e-20	4.39e-23	2.952	8.62e-23	3.36e-26	2.956	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	F.28.45	F.34.45	1.95e-26	1.16e-29	3.08	7.66e-23	2.49e-26	3.086	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	F.28.45	F.34.45	0.0143	4.28e-05	1.26	NA	NA	NA	NA	NA
Solyc06G002493	F.28.45	F.34.45	1.86e-06	4e-09	3.301	0.0498	7.12e-05	3.373	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076560.2	Solyc06g076560.2
Solyc08G002151	F.28.45	F.34.45	1.5e-38	1.79e-42	3.779	3.97e-24	1.03e-27	3.797	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc09G002796	F.28.45	F.34.45	7.77e-12	1.39e-14	4.213	9.44e-08	7.99e-11	4.262	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G002281	F.28.45	F.34.45	0.014	4.02e-05	0.943	0.0142	1.66e-05	0.944	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	F.28.45	F.34.45	4.06e-15	5.81e-18	3.747	6.46e-08	5.04e-11	3.783	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
Solyc11G002064	F.28.45	F.34.45	0.0254	8.18e-05	0.799	0.0195	2.41e-05	0.799	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	F.28.45	F.34.45	3.9e-13	6.51e-16	2.392	1.43e-05	1.59e-08	2.395	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002443	F.28.45	F.34.45	3.97e-25	2.85e-28	4.146	7.68e-17	3.5e-20	4.174	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000755	F.28.45	F.34.45	3.24e-09	6.57e-12	1.208	3.48e-07	3.17e-10	1.209	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
PRAM_15671	F.28.75	F.34.75	0.00735	4.16e-05	1.355	0.0257	9.62e-05	1.354	NA	NA
PRAM_26312	F.28.75	F.34.75	2.54e-15	7.05e-18	2.686	3.89e-10	6.79e-13	2.694	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc00G000012	F.28.75	F.34.75	0.016	9.83e-05	3.455	NA	NA	NA	NA	NA
Solyc01G002277	F.28.75	F.34.75	1.1e-36	1.46e-39	4.885	6.27e-36	3.65e-39	4.9	NA	NA
Solyc01G002906	F.28.75	F.34.75	6.85e-44	5.77e-47	4.29	9.81e-16	1.14e-18	4.304	NA	NA
Solyc01G003506	F.28.75	F.34.75	1.13e-19	2.45e-22	4.067	3.45e-10	5.74e-13	4.11	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
Solyc01G003685	F.28.75	F.34.75	7.56e-13	2.37e-15	4.643	9.71e-08	2.1e-10	4.723	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN) ITAG4.0:Solyc01g104740.3	Solyc01g104740.3
Solyc01G003896	F.28.75	F.34.75	1.22e-07	6.01e-10	4.779	0.0109	3.8e-05	5.017	NA	NA
NA	NA	NA	NA	NA	NA	0.0406	0.000156	5.735	Transcription initiation factor TFIID subunit 8 (AHRD V3.3 *** A0A1J3F703_NOCCA) ITAG4.0:Solyc02g069170.3	Solyc02g069170.3
Solyc02G001515	F.28.75	F.34.75	1.34e-07	6.77e-10	4.025	0.0252	9.23e-05	4.191	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC) ITAG4.0:Solyc02g077670.3	Solyc02g077670.3
Solyc02G002340	F.28.75	F.34.75	0.00956	5.53e-05	1.577	NA	NA	NA	NA	NA
Solyc03G000301	F.28.75	F.34.75	4.38e-61	1.58e-64	4.251	9.78e-76	1.63e-79	4.251	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G000470	F.28.75	F.34.75	0.0323	0.000207	1.507	NA	NA	NA	NA	NA
Solyc03G001667	F.28.75	F.34.75	7.23e-22	1.22e-24	4.941	4.05e-10	7.41e-13	5.021	NA	NA
Solyc03G002472	F.28.75	F.34.75	7.67e-08	3.69e-10	3.362	0.0105	3.59e-05	3.433	MAP kinase kinase kinase 27 ITAG4.0:Solyc03g112140.4	Solyc03g112140.4
Solyc03G002803	F.28.75	F.34.75	2.24e-73	2.7e-77	4.109	4.5e-85	3.74e-89	4.109	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	F.28.75	F.34.75	6.9e-19	1.75e-21	4.324	3.13e-19	3.12e-22	4.341	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003305	F.28.75	F.34.75	5.49e-08	2.58e-10	2.101	3.04e-07	6.84e-10	2.103	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID) ITAG4.0:Solyc03g120090.1	Solyc03g120090.1
Solyc03G003549	F.28.75	F.34.75	1.61e-20	3.29e-23	5.416	1.13e-06	2.63e-09	5.585	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH) ITAG4.0:Solyc03g123540.3	Solyc03g123540.3
Solyc03G003551	F.28.75	F.34.75	0.0145	8.73e-05	1.968	NA	NA	NA	NA	NA
Solyc04G000427	F.28.75	F.34.75	2.13e-60	1.03e-63	4.967	8.27e-49	3.44e-52	4.98	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002206	F.28.75	F.34.75	1.3e-38	1.41e-41	5.07	5.33e-23	4.88e-26	5.107	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
Solyc05G000281	F.28.75	F.34.75	1.53e-09	5.91e-12	3.241	0.000243	6.66e-07	3.293	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc05G000894	F.28.75	F.34.75	1.92e-08	8.54e-11	3.629	0.00258	8.58e-06	3.699	small heat shock protein 1 ITAG4.0:Solyc05g014280.4	Solyc05g014280.4
Solyc06G000727	F.28.75	F.34.75	2.16e-38	2.61e-41	4.338	4.06e-23	3.38e-26	4.34	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	F.28.75	F.34.75	1.75e-56	1.27e-59	3.952	9.49e-54	2.37e-57	3.955	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	F.28.75	F.34.75	5.33e-12	1.86e-14	1.857	2.26e-05	5.82e-08	1.853	heat shock protein 70 kD ITAG4.0:Solyc06g076020.3	Solyc06g076020.3
Solyc06G002490	F.28.75	F.34.75	3.08e-09	1.22e-11	3.449	0.00132	4.28e-06	3.519	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076520.1	Solyc06g076520.1
Solyc06G002493	F.28.75	F.34.75	4.5e-21	8.67e-24	4.596	2.52e-08	5.24e-11	4.681	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076560.2	Solyc06g076560.2
Solyc06G002645	F.28.75	F.34.75	1.18e-19	2.7e-22	3.939	1.61e-10	2.54e-13	3.978	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH) ITAG4.0:Solyc06g083190.4	Solyc06g083190.4
Solyc07G001110	F.28.75	F.34.75	0.00311	1.72e-05	2.03	NA	NA	NA	NA	NA
Solyc07G002116	F.28.75	F.34.75	0.00302	1.64e-05	2.286	NA	NA	NA	NA	NA
Solyc07G002746	F.28.75	F.34.75	0.0135	7.99e-05	0.842	0.00132	4.25e-06	0.838	molecular chaperone Hsp90-2 ITAG4.0:Solyc07g065840.2	Solyc07g065840.2
Solyc08G000196	F.28.75	F.34.75	3.06e-19	7.37e-22	2.834	3.63e-13	5.43e-16	2.84	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN) ITAG4.0:Solyc08g006980.3	Solyc08g006980.3
Solyc08G001243	F.28.75	F.34.75	2.32e-14	6.72e-17	4.696	0.000269	7.62e-07	4.858	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN) ITAG4.0:Solyc08g062340.3	Solyc08g062340.3
Solyc08G001249	F.28.75	F.34.75	1.01e-12	3.42e-15	4.964	1.81e-06	4.37e-09	5.089	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH) ITAG4.0:Solyc08g062437.1	Solyc08g062437.1
Solyc08G001299	F.28.75	F.34.75	5.77e-09	2.36e-11	3.528	0.00109	3.36e-06	3.586	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G002151	F.28.75	F.34.75	1.53e-42	1.48e-45	4.348	1.4e-43	6.99e-47	4.355	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc08G002201	F.28.75	F.34.75	1.6e-08	6.93e-11	1.128	8.34e-09	1.67e-11	1.125	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN) ITAG4.0:Solyc08g079170.3	Solyc08g079170.3
Solyc08G002253	F.28.75	F.34.75	0.0326	0.000212	1.919	NA	NA	NA	NA	NA
Solyc09G000013	F.28.75	F.34.75	7.24e-13	2.18e-15	1.317	8.06e-10	1.54e-12	1.314	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA) ITAG4.0:Solyc09g005120.3	Solyc09g005120.3
